doc_id,source_type,effective_date,path
prd-internal-dashboards-v1,prior_prd,2025-06-15,prior-prd/prd-internal-dashboards-v1.md
prd-public-embeds-retro,prior_prd,2025-08-20,prior-prd/prd-public-embeds-retro.md
interview-northwind-dana,interview,2025-10-05,interviews/interview-northwind-dana.md
interview-northwind-raj,interview,2025-10-12,interviews/interview-northwind-raj.md
interview-helio-marta,interview,2025-11-03,interviews/interview-helio-marta.md
interview-helio-tom,interview,2025-11-10,interviews/interview-helio-tom.md
interview-brightseed-aisha,interview,2025-12-01,interviews/interview-brightseed-aisha.md
feature-requests,analytics,2025-11-30,analytics/feature_requests.csv
support-volume-by-topic,analytics,2026-03-31,analytics/support_volume_by_topic.csv
dashboard-usage,analytics,2026-03-31,analytics/dashboard_usage.csv
ticket-1042-link-expired-too-soon,support_ticket,2025-12-15,support-tickets/ticket-1042-link-expired-too-soon.md
ticket-1078-revoke-access-request,support_ticket,2026-01-20,support-tickets/ticket-1078-revoke-access-request.md
ticket-1105-external-viewer-sso-required,support_ticket,2026-02-18,support-tickets/ticket-1105-external-viewer-sso-required.md
ticket-1130-shared-dashboard-slow-mobile,support_ticket,2026-03-05,support-tickets/ticket-1130-shared-dashboard-slow-mobile.md
auth-and-data-isolation,tech_constraint,2026-04-15,tech-constraints/auth-and-data-isolation.md
performance-and-caching,tech_constraint,2026-04-15,tech-constraints/performance-and-caching.md
compliance-audit-and-pii,tech_constraint,2026-04-15,tech-constraints/compliance-audit-and-pii.md
sharing-a-dashboard,product_doc,2026-06-01,product-docs/sharing-a-dashboard.md
managing-permissions,product_doc,2026-06-01,product-docs/managing-permissions.md
link-settings-expiry-and-revoke,product_doc,2026-06-01,product-docs/link-settings-expiry-and-revoke.md
security-and-compliance,product_doc,2026-06-01,product-docs/security-and-compliance.md
troubleshooting-shared-dashboards,product_doc,2026-06-01,product-docs/troubleshooting-shared-dashboards.md
